epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1.398739,0.526984,1.750476,0.244444,0.001,11.4817
2,0.88057,0.716667,0.935283,0.574074,0.001,2.7091
3,0.64169,0.772222,0.637945,0.77037,0.001,2.2486
4,0.495923,0.833333,0.38045,0.888889,0.001,2.4894
5,0.403903,0.873016,0.477377,0.822222,0.001,2.6217
6,0.389567,0.873016,0.274445,0.9,0.001,2.7287
7,0.32704,0.895238,0.502758,0.811111,0.001,2.3188
8,0.320653,0.892063,0.406901,0.851852,0.001,2.27
9,0.320549,0.888889,0.337707,0.859259,0.0005,2.2289
10,0.262196,0.906349,0.245234,0.914815,0.0005,2.2265
11,0.254286,0.911111,0.192264,0.925926,0.0005,2.2693
12,0.191788,0.943651,0.227841,0.911111,0.0005,2.2851
13,0.201283,0.926984,0.915839,0.718519,0.0005,2.5984
14,0.206747,0.93254,0.147007,0.940741,0.0005,2.6274
15,0.17448,0.942857,0.370156,0.877778,0.0005,2.6072
16,0.175035,0.940476,0.150666,0.940741,0.0005,2.2996
17,0.197515,0.92619,0.486564,0.837037,0.00025,2.3609
18,0.185701,0.935714,0.12441,0.951852,0.00025,2.7678
19,0.154116,0.953175,0.12557,0.948148,0.00025,2.6223
20,0.172445,0.937302,0.134183,0.948148,0.00025,2.3278
