epoch,train_loss,train_acc,val_loss,val_acc,lr,epoch_time_sec
1,1.213164,0.723016,0.712243,0.911111,0.0001,22.2834
2,0.359996,0.965079,0.12522,0.988889,0.0001,22.1309
3,0.123804,0.984127,0.051012,0.996296,0.0001,23.8825
4,0.065511,0.986508,0.036022,0.996296,0.0001,22.8997
5,0.065468,0.989683,0.027598,0.992593,0.0001,22.1547
6,0.049995,0.990476,0.010272,1.0,0.0001,22.6561
7,0.032542,0.994444,0.010857,1.0,0.0001,21.139
8,0.031028,0.996825,0.00577,1.0,0.0001,21.7886
9,0.031845,0.992857,0.002422,1.0,0.0001,22.0811
10,0.020328,0.996825,0.003393,1.0,0.0001,21.3556
